NEOSPORIN EYE DROPS|POLYMYXIN B SULPHATE, GRAMOCILLIN|WELLCOME FOUNDATION LTD. LONDON|04-1161
DARAVIT X 100ML|MULTIVITAMINS|ELDER PHARM LTD. D_220, TTC INDUSTRIAL ARES NAVI MUMBAI-400706, INDIA|04-3648
DARTEMAL  X 6'S|ARTEMETHER 40MG/0.5ML|HOLLEY-KUMMING PHARMACEUTICALS CORP. CHINA|04-4628
DARTEMAL  X 6'S|ARTEMETHER 80MG/ML|HOLLEY-KUMMING PHARMACEUTICALS CORP. CHINA|04-4625
DASOVIN  X 2 X 10'S|GRISEOFULVIN 500MG|SYNCOM FORMULATIONS (INDIA) LTD.256 257,SECTOR-1 (DHAR) 454 775,INDIA|04-4481
DAY-BY-DAY  X 30'S|MULTIVITAMINS|STALLION LABORATORIES PVT LTD. 305,2-3 GIDC,KERALA BAVLA GUJARAT AHAMEDABAD, INDIA|04-4183
DBD AMPICLOXA 500 X 100'S|AMPICILLIN TRIHYDRATE 250MG,CLOXACILLIN SODIUM 250MG|ELITE PHARM PVT LTD.1210 11 12 ,G.I.D.C. VATVA AHAMEDABAD 382445, INDIA|04-4453
DBD CHOROQUINE PHOSPHATE  30ML X 50'S|CHLOROQUINE 40MG/ML|IPCA LABORATORIES LTD;14 II PHASE PEENYA INDUSTRIAL AREA BANGALORE 500058, INDIA|04-4033
DBD-AMPI 250 X 10 X 10'S|AMPICILLIN TRIHYDRATE 250MG|STALLION LABORATORIES PVT LTD.305/2,3, G.I.D.C, KERALA,( BAVLA,) DIST. AHMEDABAD, GUJARAT, INDIA|04-4461
DBD-FORTIFIED PROCAINE PENICILLIN X 50'S|PROCAINE PENICILLIN 3M.U; BENZYL PENICILLIN 1M.U|IPCA LAB. LTD 14 II PHASE PEENYA INDUSTRIAL AREA, BANGALORE 500058,INDIA|04-4006
DE-AMPI  X 100ML|AMPICILLIN 125MG/5ML|SYNCOM FORMULATION LTD,FACTORY 256-257 SECTION-1, PITHAMPUER, (DHAR)M.P 454775, INDIA|04-4000
DECAVIT-PLUS X 28'S|VIT.A 2000IU, VIT. B1 15MG, VIT. B2 10MG, VIT B6 2MG, VIT. C 50MG, VIT. D 200 IU|GLAXOWELLCOME EGYPT S.A.E. EL SALAM ST, 11491 CAIRO, A.R.E|04-0884
DECIS EC 12 (1L)|DELTAMETHRINE 12.5G|AVENTIS CROP SCIENCE S.A 156,ROUTE DE LA VALENTINE 13011 MARSEILLE FRANCE|04-4263
DE-DEONS  X 150ML & 280ML|HAEMOGLOBIN 16% W/V, LIVER EXTRACT  3.1% W/V, VIT.B12  0.0001%W/V|SAME AS APPLICANT|04-4042
DELITONE  X 30'S|MULTIVITAMIN & MINERALS|GUJARAT LIQUID PHARMACAPS PVT LTD PLOT NO. 662-666 GIDC WAGHODIA GUJARAT, INDIA|04-4214
DELVAC 10X10'S|DICLOFENAC SODIUM 100MG|KOREA PHARM CO.LTD, 907-8 SANG SIN-RI HYONG NAM-MIPUN HWA SUNG-SI -KYING KIDO, KOREA.|04-3568
DEMA X20G|CLOTRIMAZOLE, BETHAMETHASONE, GENTAMYCIN|KOREA PHARMA CO. LTD 907-8, SANG SIN -RI, KYEENG, KI-DO,KOREA|04-4645
DEMYCIN X 5G|STREPTOMYCIN 5G|ZHONGNUO PHARMACEUTICALS (S.J.Z)CO. LTD. 47, FENGSHOU ROAD, SHIJIAZHUANG, HEBEI, P.R. CHINA|04-4812
DENSULF  X 25G|SULPHUR 25G|MILAN LABORATORIES,PLOT NO 63/67,J.C.I.E.LTD,KAMOTHE,PARVEL,NAVI,MUMBAI,INDIA|04-4431
DEQUADIN PAINT X 10ML|DEQUALINIUM CHLORIDE 0.5%W/W|EVANS MEDICALS PLC, KM 32, LAGOS-BADAGRY EXPRESSWAY, AGBARA IND. ESTATE, OGUN STATE.|04-0103
DERITE -H  X 60ML|LIGHT KAOLIN 200MG/ML|SAME AS APPLICANT|04-4126
DERMOVATE  X25G|CLOBETASOL PROPIONATE 0.05%|GLAXO OPERATIONS UK LTD GREENFORD ENGLAND,UK|04-1205
DETONIC X 200ML|FERR. GIUCONATE 120MG/5ML, VIT. B1 2MG/5ML, VIT.B6: 2MG/5ML, FOLIC ACID:0.3MG/5ML|AFRAB CHEM LIMITED, 22, ABIMBOLA STREET, ISOLO IND. ESTATE, ISOLO, LAGOS.|04-3734
DETTOL WATER PURIFICATION X 6'S|SODIUM DICHLOROISOCYANURATE 33MG|MEDENTECH LTD, WHITE HALL IND EST. CLONARD RD. WAXFORD IRELAND|04-4935
DEXAGEN  X10 AMPOULES|DEXAMETHAXONE 4MG|HUANGSHAN TIAMMU PHARMACEUTICAL CO. LTD. 45 HUANGSHAN MIDDLE RD. HUANGSHAN CITY, CHINA|04-4058
DEXAREL  X 100'S|DEXAMETHASONE 0.5MG|MEDREL PHARMACEUTICALS (INDIA) PVT LTD;144/146 VIII HARUPURA DIST. VADODARA GUJUARAT 391520 INDIA|04-4641
DGF BECOMEX (VITAMIN B-CO)  X 10ML|VIT B1 5MG,VIT B2 2MG, VIT B6 2MG,NICOTINAMIDE 20MG/ML|SAME AS APPLICANT|04-4509
DGF GENTAMYCIN SKIN X 15G|GENTAMYCIN 1MG|SAME AS APPLICANT|04-1446
DGF KETOFUNG  X 30'S|KETOCONAZOLE 200MG|SAME AS APPLICANT|04-4511
DGF MEPISAN X 20G|MEPIRAMINE MALEATE B.P 2%W/W|DRUGFIELD PHARMA. LIMITED, KM 38, LAGOS ABEOKUTA EXPRESSWAY SANGO-OTTA OGUN STATE.|04-3735
DGF MYCOTEN X 20G|CLOTRIMAZOLE 1%|SAME AS APPLICANT|04-1468
DGF OXYCORTRIL B X5ML|OXYTETRACYCLINE HCL 10MG+HYDROCORTISONE 50MG+POLYMIXIN B 10,000 IU PER ML|SAME AS APPLICANT|04-4144
DGF WHITFIELDS  X 20G|BENZOIC ACID 6G, SALICYLIC ACID 3G|SAME AS APPLICANT|04-1469
DGF-MYCOTEN X 6|CLOTRIMAZOLE  100MG/TABLET|DRUGFIELD  PHARM  LTD, LYNSON CHEMICAL AVENUE,KM 38,ABEOKUTA EXP.ROAD.OTA, OGUN STATE.|04-0999
DIABETMIN X 1000'S|METFORMIN HCL 500MG|HOVID SDN BHD 121 JALAN KUALA KANGSAR IPOH MALAYSIA|04-0810
DIACURE  X 60ML|LIGHT KAOLIN 200MG/ML|SAME AS APPLICANT|04-4337
DIAFIX  X 60ML|LIGHT KAOLIN 1G/5ML|SAME AS APPLICANT|04-4334
DIASTOP X100ML|LIGHT KAOLIN 200MG/ML|SAME AS APPLICANT|
DIASTOP X100ML|KAOLIN 200MG/5ML|AFRAB CHEMICAL LTD. 22, ABIMBOLA STREET, ISOLO IND. ESTATE, ISOLO LAGOS|04-1393
DIAZEPAM X 1000'S|DIAZEPAM 5MG|SAME AS APPLICANT|04-0740
DICLOSAL X 10'S|DICLOFENAC SODIUM 75MG/3ML|STRIDES ARCOLAB LTD OPP 11M, BILEKAHALI BANNERGHATTA RD. BANGALORE, INDIA|04-4798
DIFENAC X10'S   AMPOULES|DICLOFENAC SODIUM 75MG/3ML|ELDER PHARM LTD;R-28 TTC INDUSTRIAL AREA MIDC RABALE NAVI MUMBAI-400701, INDIA.|04-3567
DIGICID  X 96'S|MAGNEIUM TRISILICATE 250MG, ALUMINIUM HYDROXIDE 120MG|STRIDES ARCOLAB LTD. STRIDES HOUSE OPP. 11M BILEKAHELI, BANNERGHATTA ROAD BANGALORE- 560076, INDIA|04-4025
DIP SEAS COD LIVER OIL X 30'S|VIT.A BP 180MG IU, VIT D BP 25.5MG IU|GUJARAT LIQUID PHARMACAPS PVT LTD;PLOT NO. 662- 666 GIDC WAGHODIA VADODARA INDIA|04-3563
DIPHTERIA AND TETANUS VACCINE ADSORBED(DT) 5ML/VIAL.(IM OR DEEP SUBCUT)|COMBINED IMMUNOLOGICAL PRODUCT AND CONTAINS TWO ACTIVE COMPONENTS: PURIFIED DIPHTHERIA TOXOIDS AT LEAT 30IU AND TETANUS TOXOID  AT LEAST 40IU ADSORBED ON MINERAL CARRIER (ALUMINIUM PHOSPHATE)|INSTITUTE OF IMMUNOLOGY AND VIROLOGY TORLAK 11152 BELGRADE V. STEPE 458, SERBIA & MONTENEGRO (YUGOSLAVIA)|04-4608
DIPHTERIA AND TETANUS VACCINE ADSORBED(TD) FOR ADULTS AND ADOLESCENTS  5ML/VIAL.(IM OR DEEP SUBCUT)|COMBINED IMMUNOLOGICAL PRODUCT AND CONTAINS TWO ACTIVE COMPONENTS: PURIFIED DIPHTHERIA TOXOIDS AT MOST 30IU AND TETANUS TOXOID  AT LEAST 40IU ADSORBED ON MINERAL CARRIER (ALUMINIUM PHOSPHATE)|INSTITUTE OF IMMUNOLOGY AND VIROLOGY TORLAK 11152 BELGRADE V. STEPE 458, SERBIA & MONTENEGRO (YUGOSLAVIA)|04-4609
DOLAKLOX 500 X100'S|AMPICILLIN 250MG + CLOXACILLIN 250MG|UNIBOS LABORATORIES LTD,VIII VEOOR PALGHAR THANE 5,C-6,POONAM DARSHAN, POONAM NAGAR, ANDHERI (E) MUMBAI 400093,INDIA|04-3925
DOLAMOX 250  X 100'S|AMOXYCILLIN 250MG|UNIBOS LABORATORIES LTD,VIII VEOOR PALGHAR THANE 5,C-6,POONAM DARSHAN, POONAM NAGAR, ANDHERI (E) MUMBAI 400093,INDIA|04-3904
DOLAMOX 500  X 100'S|AMOXYCILLIN 500MG|UNIBOS LABORATORIES LTD,VIII VEOOR PALGHAR THANE 5,C-6,POONAM DARSHAN, POONAM NAGAR, ANDHERI (E) MUMBAI 400093,INDIA|04-3903
DOLAMPI -250  X 100'S|AMPICILLIN  250MG|UNIBOS LABORATORIES LTD. FACTORY VILLAGE VROOR PALGHAR THANE, INDIA|04-4166
DOPATYL 250  X 100'S|METHYLDOPA 250MG|MEDREL PHARM PVT LTD 54B, DRUG HOUSE, PROCTER ROAD, MUMBAI, INDIA|04-4301
DOUBLE RABBIT MOSQUITOE COIL|PYRETHROID (PRALLETHRIN) 0.05% W/W|MERCHANT INVESTORS LTD. 63 ENU-OWA ST. LAGOS|04-3613
DOXIMAX   X 100'S|DOXYCYCLINE  BP 100MG|MAXHEAL PHARMACEUTICALS, 103, TULSI NIWAS, JOGESHWARI (W) MUMBAI-400102, INDIA|04-4474
DOXIN X 100'S|DOXYCYCLINE 100MG|YANGZHOU 3 PHARM CO. LTD; NO 51 YUANTAI RD YILLING TOWN, JIANGDU CITY, JIANGSU, CHINA|04-3705
DOXORUBIN 50 HCL X 1'S|DOXORUBICIN HCL USP  50MG|KHANEDELWAL LABORATORIES PVT LTD;212/2 HADAPSAR PUNE 411028|04-3544
DOXYCYLINE  HYCLATE 50% (1KG & 100G) 2 PACK SIZE|DOXYCYCLINE HCL 500MG|DOPHARMA INTERNATIONAL B.V ZALMWEG 24-4941 RAAMDONKSVEER, THE NETHERLANDS|04-4415
DR KIM'S VITAMIN B COMPLEX  X 1000'S|VIT B1 0.5MG, VIT B2 0.1MG, VIT B6 0.1MG, NICOTINAMIDE 1MG|SAME AS APPLICANT|04-0410
DR MEYER PAINKIL  X 100'S|PARACETAMOL 500MG|VITABIOTICS NIG. LTD 35, MOBOLAJI JOHNSON AVE., OREGUN, IKEJA|04-1217
DR MEYER'S CIPROCHEM 500  5 X10'S|CIPROFLOXACIN 500MG|VITABIOTICS {NIG} LTD. 35, MOBOLAJI JOHNSON AVENUE, OREGUN IKEJA|04-3843
DR MEYER'S USIDAR  X 3'S|SULPHADOXINE 500MG,PYRIMETHAMINE 25MG|VITABIOTICS {NIG} LTD, 35,MOBOLAJI JOHNSON AVENUE ,OREGUN, IKEJA|04-3842
DR. MEYER'S CIPROCHEM 500  X 10|CIPROFLOXACIN 500MG|VITABIOTICS {NIG} LTD. 35, MOBOLAJI JOHNSON AVENUE, OREGUN, IKEJA|04-3843
DR. MEYER'S MILK OF MAGNESIA  X 100ML|MAGNESIUM HYDROXIDE 415MG/5ML|SAME AS APPLICANT|04-0845
DR. MEYER'S USIDAR  X 3'S|SULPHADOXINE 500MG, PYRIMETHAMINE 25MG|VITABIOTICS {NIG} LTD, 35, MOBOLAJI JOHNSON AVENUE , OREGUN, IKEJA|04-3842
DREX- T  X 1000'S|INDOMETHACIN 25MG|HUAYAN ZHONGSHEN PHARMACEUTICALS CO LTD CHENGDE  HIHGTECH IND. DEVELOPMENT ZONE HEBEI,CHINA|04-4329
DRIMOX X 100ML|AMOXICILLIN 125MG/5ML|FIDSON HEALTH CARE LIMITED, KM 38 LAGOS-ABEOKUTA EXPRESSWAY SANGO OTTA, OGUN STATE.|04-3737
DROCORT  X 100'S|HYDROCORTISONE 100MG|SAVITA PHARMACEUTICALS PVT LTD,722-9 DABHEL SOMNATH ROAD,DAMAN,INDIA|04-4414
DRUGENT   X 10ML'S|GENTAMICIN 3MG/ML|SAME AS APPLICANT|04-4861
DRUGENT- HC X 20G|GENTAMICIN 0.35%,HYDROCORTISONE 1%|SAME AS APPLICANT|04-4701
DRUGENT X 20G|GENTAMYCIN 0.35%|SAME AS APPLICANT|04-4510
DRUMMER AIR WICK INSECT REPELLENT (JASMINE) (60G)|99.30% P-DICHLOROBENZENE|SAME AS APPLICANT|02-0461
DRUMMER AIR WICK INSECT REPELLENT (LAVENDER) (60G)|99.30% P-DICHLOROBENZENE|SAME AS APPLICANT|02-0613
DRUMMER AIR WICK INSECT REPELLENT (POT POURRI) (60G)|99.30% P-DICHLOROBENZENE|SAME AS APPLICANT|02-0223
DRUMMER AIR WICK INSECT REPELLENT (ROSE) (60G)|99.30% P-DICHLOROBENZENE|SAME AS APPLICANT|02-0169
DRUNALGIN X 500S|DIPYRONE 500MG|DRUGFIELD PHARMA. LTD.KM 38, LAGOS ABEOKUTA EXP.WAY SANGO-OTTA, OGUN STATE.|04-3649
DRUNALGIN(DIPYRONE 50%)  X 30ML|DIPYRONE 500MG/ML|SAME AS APPLICANT|04-4508
DUOVIR  X 60'S|LAMIVUDINE 150MG, ZIDOVUDINE 300MG|CIPLA LTD. LBS MARG VIKHROLI MUMBAI 400 083,INDIA|04-3897L
DUOVIR-N X 60'S|LAMIVUDINE 150MG, ZIDOVUDINE USP 300MG, NEVIRAPINE 200MG|CIPLA LTD. LBS MARG VIKHROLI MUMBAI 400 083,INDIA|04-4187
DUOVIR-N X 60'S|LAMIVUDINE 150MG,  ZIDOVUDINE 300MG, NEVIRAPINE 200MG|CIPLA LTD;MUMBAI CENTRAL 400008 INDIA|04-3624L
D-WORM P  X15ML|PYRANTEL PAMOATE 250MG/5ML|SAME AS APPLICANT|04-1178
DYNAMOGEN ORAL  X 10ML|GLUTODINE 3MG,ARGINIE 1G|PRODUCTS FARMACEUTICS FAES MAXIMO AGUIRRE 14-LAMIAEO (LEJOHA) BILBAO SPAIN|04-4202
ECIN X100ML|ERYTHROMYCIN ETHYL SUCCINATE 125MG/5ML|FOOD AND PHARMA.[NIG] LTD6, IJORA CAUSE WAY. LAGOS.|04-3826
EFFCAL  X 60ML|VITAMIN D3 200 IU, CALCIUM 200MG|SAME AS APPLICANT|04-4601
EFRODAR  X 3'S|SULPHADOXINE 500MG, PYRIMETHAMINE 25MG|EFROZE CHEMICAL IND. (PVT) LTD. 146/23 KORANGI INDUSTRIAL AREA KARACHI, PAKISTAN|04-3912
ELCIP  X 20'S|CIPROFLOXACIN 250MG|ELITE PHARM PVT LTD.1210 11 12 ,G.I.D.C. VATVA AHAMEDABAD 382445, INDIA|04-4065
ELCIP 500  X 10'S|CIPROFLOXACIN 500MG|ELITE PHARM PVT LTD. 54B DRUG HOUSE PROCTER ROAD, MUMBAI, INDIA|04-4008
EM VIT C CHEWABLE|ASCORBIC ACID 1000MG|SAME AS APPLICANT|04-4053
INDOLAB CAPSULES|INDOMETHACIN CAPSULES B.P.|YANGZHOU NO. 3 PHARMACEUTICAL CO. LTD. 51, GUOTAI ROAD, YILING TOWN, JIANGDU, CHINA|04-4319
EMBACLOX  X 100'S|CLOXACILLIN 500MG|MEDREL PHARM PVT LTD 54B, DRUG HOUSE, PROCTER ROAD, MUMBAI, INDIA|04-4376
EMBACYCLINE 5% (100MG)|OXYTETRACYCLINE HCL  5G, SODIUM HYDROXYMETHANE SULPHINATE 0.4G E,T,C|COOPHAVET 7 ST. HERBLON 44153 ANCENIS CEDIX FRANCE|04-1231
EMBAMAG X 20'S, 1000'S|MAGNESIUM TRISILICATE 260MG, ALUMINIUM HYDROXIDE 120MG|MEDREL PHARMACEUTICALS (INDIA) PVT LTD3325,G.I.D.C SARIGAM DIST VALSAD GUJARAT 396155 INDIA|04-3760
EMBATRIM 480 X 1000'S,100'S|SULPHMETHOXAZOLE 400MG +TRIMETHOPRIM 80MG|MEDREL PHARMACEUTICALS PVT LTD, 54-B,DRUG HOUSE, PROCTER ROAD ,MUMBIA-400007, INDIA.|04-3759
EMBATRIM FORTE X 240'S.|CO-TRIMOXAZOLE 960GM.|MEDREL PHARMACEUTICALS PVT LTD, 54-B, DRUG HOUSE, PROCTER ROAD , MUMBIA-400007, INDIA.|04-3644
EM-VIT C CHEWBLE  X 100'S & 300'S|ASCORBIC ACID 100MG|SAME AS APPLICANT|PACK SIZE EXTENSION
EMVITE MULTIVITAMIN  X 100ML|VIT A 1000 IU, VIT C 50MG, VIT D 200 IU, VIT B1 1500MCG, VIT B2 1500MCG, NICOTINAMIDE 10MG, VIT B12 2500MG/5ML|SAME AS APPLICANT|04-0135
EMZOQUINE   X 6'S (PINK RBM)|CHLOROQUINE BASE 300MG|SAME AS APPLICANT|04-4344
EMZOQUINE FORTE  X 6(PACK SIZE EXTENSION)|CHLOROQUINE PHOSPHATE   500MG/CAPSULE|EMZOR PHARM. IND. LTD, PLOT 3C,  BLOCKA, ASWANI MARKET  ROAD, ISOLO, LAGOS|04-2912
EMZOR CHLOROQUINE X 60ML|CHLOROQUINE PHOSPHATE 80MM/5ML|EMZOR PHARMA. IND. LIMITED, PLOT 3C; BLOCK A, ASWANI MARKET, ISOLO, LAGOS.|04-3753
ENAZIDE X 10'S|ENALAPRIL  MALEATE 10MG, HYDROCHLOTHIAZIDE 25MG|EMCURE PHARM LTD. S-25/D-6,T BLOCK, MIDC, BHOSARI, PUNE 411026, INDIA|04-1461
ENDANIL X 160|ALBEDAZOLE 400MG|XL LABORATORIES PVT E-1223 PHASE-1,EXTN (GHATAI) RIICO IND.AREA BHIWADI-301019 RAJASTHAN INDIA|04-4692
ENDOVET (10ML)|IVEMECTIN 1G|REVETMEX S.A DE C.V PROL CALZ DE LA VIGA NO. 1937 COL. PRADO CHURUBUSCO DELEG COYOACAM C.P 04230 MEXICO D.F|04-4756
ENERGY 2000 X1.5 LITRE|STROPHANTUS SPP., PLUMBAYO ZEYLANICA, MENTHA SPP.|YEM-KEM INTERNATIONAL LIMITED 1, PRINCE (DR.) TUNDE AYENI STREET, ONIKANGA IPAJA LAGOS|04-4274L
ENGERIX - B 10MCG X 1ML|HBS AG. ALUMINIUM HYDROXIDE SUSPENSION, POLYSORBATE 20, SODIUM CHLORIDE, DISODIUM PHOSPHATE DISULPHATE|SMITHKLINE BEECHAM BIOLOGICALS S.A RUE DE L'INSTITUTE 89 B- 1330, RIXENSANT BELGIUM.|04-1109
EPILSAN  X 100'S|PHENYTOIN SODIUM 100MG|BIOMEDICINE SPRL 69 AVENUE CHARLES WOESTEC B 1090 BRUXELLESS, BELGIUM|04-4323
EPREX 2000  X 2000IU/ML/VIAL|EPOETIN ALFA (ERYTHROPOETIN)|CILAG AG HOCHSTRASSE 201 CH 8205 SCHAFFHAUEN SWITZERLAND|04-4490
EPREX 4000  X 4000IU/ML/VIAL|EPOETIN ALFA (ERYTHROPOETIN)|CILAG AG HOCHSTRASSE 201 CH 8205 SCHAFFHAUEN SWITZERLAND|04-4604
ERIZOLE  30ML|MEBENDAZOLE 100MG|EFROZE CHEMICAL IND. (PVT) LTD. 146/23 KORANGI INDUSTRIAL AREA KARACHI PAKISTAN|04-3913
ETIDOCIN  X 100'S|INDOMETHACIN 25MG|MILAN LABORATORIES PLOT NO 63/07 J.C.I.E LTD, KAMOTHE PANVEL, NAVI, MUMBAI, INDIA|04-4784
ETOCIN X 100'S|ERYTHROMYCIN STEARATE  500MG|CADILA PHARM LTD. DHOLKA 387810 DISTRICT AHAMEDABED GUJURAT, INDIA|04-1006
EURAMOL  X 1000'S|PARACETAMOL 500MG|SAME AS APPLICANT|04-4564
EURAMOL PARCETAMOL  X 60ML|PARACETAMOL 125MG/5ML|SAME AS APPLICANT|04-4575
EURAMOX (MEBENDAZOLE) X 1000'S|MEBENDAZOLE 100MG|SAME AS APPLICANT|04-4566
EURAMOX (MEBENDAZOLE) X 30ML|MEBENDAZOLE 100MG/5ML|SAME AS APPLICANT|04-4570
EUROCOD  X 100'S|COD LIVER OIL 300MG|GLENMARK LABORATORIES PVT LTD PLOT NO 182&L; 83 VERNA GOA 403722 INDIA|04-4156
EUROGYL (METRONIDAZOLE)  X 60ML|METRONIDAZOLE 200MG/5ML|SAME AS APPLICANT|04-4568
EUROGYL (METRONIDAZOLE)  X1000'S|METRONIDAZOLE 200MG|SAME AS APPLICANT|04-4563
EVA MULTIVITAMIN  X 30'S|MULTIVITAMINS & MINERALS|BISHOP PHARMA LABS 133/11, DABHEL VILLAGE,DAMAM INDIA|04-4821
EVA X30'S (BLISTER PACK & JAR)|MULTIVITAMINS|BISHOP PHARMA LABS 133/11, DABHEL VILLAGE, INDIA|04-3881
EVANS BLOOD  X 2 LITRES|FERRIC AMMONIUM CITRATE 200MG/5ML|SAME AS APPLICANT|04-3932
EVANS CALAMINE  BP   X2 LITRES|CALAMINE BP 15G, ZINC OXIDE 5G|SAME AS APPLICANT|
EVANS CHLOROQUINE X 2L (PACK SIZE EXTENSION)|CHLOROQUINE PHOSPHATE 80MG/5ML|EVANS MEDICALS PLC, KM 32, LAGOS BADAGRY EXPRESSWAY AGBARA, OGUN STATE.|04-3188
EVANS COUGH EXPECTORANT  X 2LITRES|CHLORPHENIRAMINE MALEATE BP 2MG, AMMONIUM CHLORIDE BP 100MG, MENTHOL BP 1MG, SODIUM CITRATE BP 44MG.|SAME AS APPLICANT|04-3931
EVANS MULTIVITAMIN X 2 LITRES|VIT A  1000 IU, VIT B1 1500MCG, VITB12 2500NG, VIT B2 1500MCG, NICOTINAMIDE 10,000MCG, VIT C 30,000MCG, VIT D 200IU.|SAME AS APPLICANT|04-3929
EVANS PARACETAMOL X 2LPACK SIZE EXTENSION|PARACETAMOL 125MG/5ML|EVANS MEDICALS PLC, KM 32, LAGOS-BADAGRY EXPRESSWAY, AGBARA, OGUN STATE.|04-0102
EVANS VIT. B COMPLEX X 2LITRES|THIAMINE HCL 5MG, VIT B2 2MG, B6 1MG, NICOTINAMIDE 15MG|SAME AS APPLICANT|04-4046
EVANS VITAMIN C X2 LITRES|ASCORBIC ACID 100MG/5ML|SAME AS APPLICANT|04-3930
EVAPICILLIN X 100ML|AMPICILLIN 125MG/5ML|DAVID LABORATORIES LIMITED,C4/75/76 IND. LAYOUT OWERRI ONITSHA ROAD, OWERRI|04-3749
GYNAMED X 30GM|CLOTRIMAZOLE 2%W/W USP|SYNMEDIC LABORATORIES;166,DLF INDUSTRIAL AREA PHASE-1 FARIDABAD-121003|04-3633
GYNESATUM  X30G|CLOTRIMAZOLE 1%|SYNMEDICS LABORATORIES 166, DLF IND AREA PHASE 1 FANDABADE 121003 INDIA|04-4652
GYNESATUM  X6'S|CLOTRIMAZOLE 100MG|SYNMEDICS LABORATORIES 166, DLF IND AREA PHASE 1 FANDABADE 121003 INDIA|04-4660
GYNO-TROSYD  X 3'S|TICONAZOLE 100MG|SAME AS APPLICANT|04-4825
HACINE  X 1ML|HYOSCINE BUTYLBROMIDE 20MG|JINLING PHARM (GP) CORP,ZHEJIAN JIANFANG PHARMA II,CHEZHAN RD,HUZHOU CITY ZHEJIANG, CHINA|04-3779
HACOGENE  X 4G & 25G|METHYL SALICYLATE 10%W/W, MENTHOL 0.66%W/W, CAMPHOR 3%W/W, EUCALYPTUS OIL 5%W/W|SAME AS APPLICANT|04-4230
HAEMATONE TONIC X 200ML|FERR. AMMONIUM CITRATE 69MG, VIT. B2- 0.5MCG, VIT. B6- 1MG, VIT. B1 - 2MG, VIT. B12 -  5MCG|MOPSON PHARMA. LIMITED, 47, OSOLO WAY AJAO ESTATE OSHODI, LAGOS.|04-3740
HAIDOMOL  X 1000'S|PARACETAMOL 500MG|SAME AS APPLICANT|04-0960
HALOTHANE INHALATION ANAESTHETICS  X 250ML|HALOTHANE|HALOCARBON LABORATORIES,RIVER EDGE,07661 USA|04-4020
HBRICH X 200ML|FERROUS SULPHATE 50MG, FOLIC ACID 0.5MG, VITAMIN B12 - 5MCG|WOCKHADT LTD. MUBAI, INDIA|04-3893
HEALMOXY 500  X 100'S|AMOXYCILLIN 500MG|MAXHEAL PHARM (INDIA) 103, TULSI NIWAS JOGEHWARI (N) MUMBAI, INDIA|04-4310
HEALTH-E-TONIC X 200ML|FOLIC ACID  0.5MG, VIT. B6 1.0MG, VIT.B12  7.5MG|AGOG PHARM LTD;PLOT NO. 35 SECTOR 11, THE VASAI TALUKA GAURAIPADA INDIA.|04-3558
HEPACLON (DIRECT LATEX AGGLUTINATION HEPATITIS B TEST KIT)|TRIS(HYDROXYMETHYL)-AMINOMETHANE 4.80G,HYDROCHLORIC ACID 18.30G,SODIUM AZAID 0.095G,POLYSTYRENE SPHERES (LATEX) 100G, MONOGLONAL ANTIBODY TO HBS AG 0.06G|OPERON S.A CAMNO DEI PLANO,19- E 50410 CUARTE DE HUERVA ZARAGOZA, SPAIN|04-4881
HEPARENOL DRINKABLE SOLUTION -5L& 1L|SORBITOL-35G,ACETYL METHIONINE-10G,CHOLINE HCL-7.5G, BETAIN-6G, LYSINE-2G.|COOPHAVET ST. HERBLON BP-7-44153 ANCENIS CEDEX,FRANCE.|04-3672
HEPLOCK HEPARIN LOCK FLUSH  X 2ML|HEPARIN USP 10UNITS/ML|GLAND PHARMA LTD. D.P PALLY DUNDIGAL POST, HYDERABAD-500 043, INDIA|04-4475
HEPLOCK HEPARIN LOCK FLUSH  X 30X1'SVIAL|HEPARIN SODIUM|GLAND PHARMA LTD. D.P PALLY DUNDIGAL POST, HYDERABAD-500 043,  INDIA|04-4640
HIDRO 100 X100VIALS|HYDROCORTISONE SUCCINATE  100MG|STERILE SPECIALITIES PVT LTD. 1174B ENIKEPADU VIJAYAWADA 521108,ANDHRA PRADESH, INDIA|04-4074
HISCOPAN  X60ML|HYOSCINE N-BUTYLBROMIDE 5MG/5ML|SAME AS APPLICANT|04-4733
HISTON  X 60ML|CHLORPHENIRAMINE MALEATE 2MG/5ML|SAME AS APPLICANT|04-4226
HIVID  X 100'S|ZALCITABINE 0.75MG|HOFFMAN -LA ROCHE INC. NUTLEY N.J. U.S.A|04-4396
HOLISTA HERBAL ANTI-ULCER 200ML|VEMONIA AMYGDALINA 3.0MG, SECURINEGA VIRUSA 3.2MG, RORIPA MADGASCARIENS 2.5MG,E.T.C|PHARACHEM INDUSTRIAL LTD. ESTATE ILUPEJU LAGOS|04-3614L
HOOKZOL X 6'S|MEBENDAZOLE 100MG|MILAN LABORATORIES PLOT NO 63/07 J.C.I.E LTD,KAMOTHE PANVEL,INDIA|04-4668
MALAFLOQ  X 2'S|SULFADOXINE 500MG, PYRIMETHAMINE 25MG, MEFLOQUINE 250MG|MEDREICH STERILAB (P) LTD;12 MILE OLD, MADRAS ROAD VIRGONAGAR BANGALORE-560049, INDIA|04-3542
MALCIDAL  X 500'S & 3'S X 50|PYRIMETHAMINE 25MG, SULPHADOXINE 500MG|SAME AS APPLICANT|04-3941
